vM,Fr_bulbo,Re_bulbo,CF0_bulbo,CT_bulbo,CV_bulbo,CW_bulbo,Fr_ctrlz,Re_ctrlz,CF0_ctrlz,CT_ctrlz,CV_ctrlz,CW_ctrlz
0.42,0.1049032058840005,629614.6788990825,0.0051964357777633365,0.006889016375176528,0.006256508676427057,0.0006325076987494715,0.10894529276631677,583761.4678899082,0.005287450751880094,0.0073797086712703045,0.0061810299289478295,0.001198678742322475
0.52,0.12988015966590538,779522.9357798166,0.0049516938593418755,0.00625111345752852,0.0059618394066476175,0.00028927405088090274,0.13488464818686838,722752.2935779816,0.005036328787004212,0.006953956247927784,0.005887468352007924,0.0010664878959198596
0.56,0.13987094117866733,839486.2385321102,0.004870799577893902,0.006241726245965308,0.0058644426917842584,0.00037728355418104997,0.14526039035508903,778348.6238532111,0.004953360361424054,0.006852586623322423,0.005790478262504719,0.0010621083608177038
0.61,0.15235941806961975,914440.3669724771,0.004779885623988364,0.00610976822446143,0.0057549822912819895,0.00035478593317944066,0.15823006806536483,847844.0366972476,0.004860136180570709,0.006663751984807368,0.005681499195087159,0.0009822527897202097
0.64,0.15985250420419123,959412.8440366973,0.00472996085059431,0.006222424032639571,0.005694872864115549,0.0005275511685240214,0.1660118746915303,889541.2844036696,0.0048089522052226835,0.006709481223586574,0.005621665127905317,0.0010878160956812573
0.68,0.1698432857169532,1019376.1467889909,0.0046680269756504125,0.006393809829524729,0.005620304478683096,0.0007735053508416325,0.176387616859751,945137.6146788992,0.004745465603264162,0.006747709399249748,0.005547449290215805,0.0012002601090339432
0.71,0.17733637185152465,1064348.623853211,0.004624661041795724,0.006544422935034342,0.005568091894322052,0.0009763310407122899,0.18416942348591644,986834.862385321,0.004701018662101429,0.006763391006004522,0.00549549081599657,0.0012679001900079518
0.74,0.1848294579860961,1109321.1009174313,0.004583654906056202,0.006538386816506442,0.005518720506891667,0.0010196663096147746,0.19195123011208193,1028532.1100917432,0.0046589950705053975,0.006829869164718388,0.0054463652374208095,0.0013835039272975785
0.8,0.19981563025523905,1199266.0550458715,0.004507874718180495,0.0070025666681557885,0.0054274811606893165,0.001575085507466472,0.20751484336441292,1111926.6055045873,0.004581346764013144,0.006909252243476821,0.005355594367131365,0.0015536578763454554
0.84,0.209806411768001,1259229.357798165,0.004461401815927263,0.0072242201920894806,0.005371527786376424,0.0018526924057130564,0.21789058553263355,1167522.9357798165,0.0045337360729338005,0.006911155739761078,0.005299937469259613,0.0016112182705014652
0.89,0.22229488865895344,1334183.486238532,0.0044072528653037145,0.007537036131474434,0.005306332449825672,0.0022307036816487623,0.23086026324290934,1237018.3486238532,0.004478268980194975,0.006939031711099762,0.005235096437847926,0.0017039352732518363
0.92,0.22978797479352492,1379155.9633027522,0.004376648806008073,0.007742474004191027,0.00526948516243372,0.002472988841757307,0.23864206986907485,1278715.5963302753,0.004446923554399478,0.007006538147723082,0.00519845363509299,0.0018080845126300918
0.95,0.23728106092809634,1424128.4403669725,0.004347329452890227,0.007907339251583016,0.005234184661279832,0.0026731545903031836,0.2464238764952403,1320412.8440366972,0.004416896421682992,0.007166289949585921,0.005163351916947418,0.002002938032638503
1.04,0.25976031933181076,1559045.8715596332,0.004266195660157668,0.00864712226468134,0.005136499574829831,0.003510622689851508,0.26976929637373676,1445504.5871559633,0.004333816672657758,0.00846319400503299,0.00506623169033692,0.0033969623146960703
1.14,0.2847372731137156,1708954.1284403668,0.0041862007149633005,0.00933505328311884,0.0050401856608158135,0.004294867622303027,0.29570865179428835,1584495.4128440365,0.004251921400247531,0.011082055588528105,0.004970496116889364,0.006111559471638741
1.17,0.29223035924828705,1753926.605504587,0.004163975605094617,0.009803828209492976,0.005013426628533919,0.004790401580959057,0.30349045842045386,1626192.6605504586,0.0042291715703682625,0.011773894176385672,0.004943901565760499,0.006829992610625173
1.29,0.32220270378657295,1933816.513761468,0.004081997906854968,0.011735590590344855,0.004914725479853382,0.006820865110491473,0.3346176849251158,1792981.6513761468,0.004145270743293409,0.013472480586094092,0.004845821498909995,0.008626659087184097
1.38,0.3446819621902873,2068733.9449541285,0.004026779361576183,0.012408943332444725,0.0048482423513377245,0.007560700981107,0.3579631048036122,1918073.3944954125,0.004088767802360831,0.014072752578547175,0.004779769560959811,0.009292983017587363
1.4,0.3496773529466683,2098715.5963302753,0.004015143443586501,0.012498016519837873,0.004834232706078147,0.007663783813759726,0.36315097588772255,1945871.5596330273,0.004076862365056141,0.014263922617469602,0.004765852104750629,0.009498070512718972
1.49,0.3721566113503827,2233633.027522936,0.003965336857975484,0.013509823463896028,0.004774265577002483,0.008735557886893546,0.386496395766219,2070963.3027522934,0.004025906609167196,0.015738680517422922,0.004706284826116452,0.01103239569130647
1.52,0.3796496974849542,2278605.5045871558,0.00394959675175885,0.014018759376271898,0.004755314489117655,0.009263444887154242,0.39427820239238454,2112660.5504587158,0.004009804853616623,0.016572403250527546,0.0046874618738778325,0.011884941376649714
1.61,0.4021289558886686,2413522.9357798165,0.0039046975655825894,0.016282764119909504,0.004701255868961437,0.011581508250948067,0.417623622270881,2237752.293577982,0.003963878071183861,0.019211555925208134,0.004633773465213934,0.0145777824599942
1.82,0.45458055883066883,2728330.2752293576,0.003811521447093962,0.025336237897823684,0.00458907182230113,0.020747166075522554,0.47209626865403936,2529633.027522936,0.003868588574974076,0.028757782734197886,0.004522380044144695,0.02423540269005319
