vM,Fr,ReM,RTM CFD,Rp bulbo,Rv bulbo,RTM CFD Ctr+ z,Rp ctl+z,Rv ctl+z
[ m/s],[-],[-],[N],,,,,
0.42,0.104,,0.596,0.194,0.39,0.63,0.24,0.39
0.52,0.13,,0.829,0.3,0.55,0.91,0.357,0.56
0.56,0.14,,0.96,0.34,0.62,1.04,0.4,0.64
0.61,0.15,,1.115,0.41,0.73,1.2,0.46,0.75
0.64,0.16,,1.25,0.46,0.8,1.33,0.51,0.83
0.68,0.17,,1.45,0.548,0.902,1.51,0.58,0.93
0.71,0.18,,1.618,0.606,1.012,1.65,0.65,1.01
0.74,0.184,,1.756,0.69,1.07,1.81,0.715,1.09
0.8,0.2,,2.198,0.948,1.25,2.14,0.87,1.266
0.84,0.21,,2.5,1.12,1.39,2.36,0.97,1.36
0.89,0.22,,2.928,1.364,1.564,2.66,1.11,1.55
0.92,0.23,,3.214,1.546,1.668,2.87,1.22,1.66
0.95,0.236,,3.5,1.77,1.78,3.13,1.362,1.766
1.04,0.26,,4.587,2.43,2.15,4.43,2.32,2.11
1.14,0.285,,5.95,3.37,2.6,6.97,4.33,2.64
1.17,0.29,,6.582,3.84,2.75,7.8,4.99,2.82
1.29,0.32,,9.578,6.12,3.458,10.85,7.34,3.5
1.38,0.34,,11.59,7.55,4.05,12.97,8.93,4.04
1.4,0.35,,12.014,7.84,4.17,13.53,9.37,4.16
1.49,0.37,,14.71,9.9,4.8,16.91,12.12,4.79
1.52,0.38,,15.885,10.8,5.063,18.53,13.52,5.01
1.61,0.4,,20.7,15.06,5.6,24.1,18.57,5.5
1.82,0.45,,41.16,34.48,6.87,46.1,39.377,6.71
