vM,Fr,ReM,RTM CFD bulbo,Rp bulbo,Rv bulbo,RTM CFD ctr+z,Rp ctl+z,Rv ctl+z
[ m/s],[-],[-],[N],,,[N],,
0.56,0.14,"9,92E+05",1.1,0.4,0.7,1.098,0.43,0.68
0.64,0.16,"1,13E+06",1.316,0.567,0.89,1.42,0.545,0.88
0.75,0.19,"1,32E+06",2.103,0.853,1.25,2.004,0.786,1.2
0.8,0.26,"1,86E+06",4.715,2.22,2.495,4.77,2.47,2.296
1.05,0.3,"2,10E+06",7.58,4.3,3.28,8.96,5.49,3.09
1.19,0.334,"2,36E+06",12.56,8.29,4.27,13.1,9.09,4.02
1.34,0.369,"2,61E+06",16.82,11.51,5.31,17.14,12.18,4.98
1.48,0.399,"2,82E+06",22.608,16.528,6.08,23.56,17.74,5.81
1.6,0.432,"3,06E+06",33.61,26.83,6.78,35.76,29.14,6.69
1.73,0.447,"3,16E+06",41.13,33.89,7.24,43.52,36.46,7.07
