vM,Fr,ReM,RTM_bulbo,Rp_bulbo,Rv_bulbo,RTM_ctrlz,Rp_ctrlz,Rv_ctrlz,ReM_bulbo,ReM_ctrlz,Cw_bulbo,Cw_ctrlz,Cv_bulbo,Cv_ctrlz
0.42,0.104,,0.596,0.194,0.39,0.63,0.24,0.39,686279.9999999999,636300.0,0.002185233207750009,0.0027396495611509476,0.004392994592899502,0.00445193053687029
0.52,0.13,,0.829,0.3,0.55,0.91,0.357,0.56,849680.0,787800.0,0.0022044954659406917,0.002658544181206371,0.004041575020891268,0.004170265382284505
0.56,0.14,,0.96,0.34,0.62,1.04,0.4,0.64,915040.0000000001,848400.0000000001,0.002154256963825717,0.0025684214635790133,0.003928350934035131,0.004109474341726421
0.61,0.15,,1.115,0.41,0.73,1.2,0.46,0.75,996740.0,924150.0,0.0021893683179794758,0.0024893187762029976,0.003898143590548823,0.004058671917722279
0.64,0.16,,1.25,0.46,0.8,1.33,0.51,0.83,1045760.0000000001,969600.0,0.0022314775719040284,0.002507220795892169,0.003880830559833093,0.004080378942334315
0.68,0.17,,1.45,0.548,0.902,1.51,0.58,0.93,1111120.0000000002,1030200.0,0.0023548181556136026,0.0025257625603777004,0.0038759963072326083,0.004049929622674589
0.71,0.18,,1.618,0.606,1.012,1.65,0.65,1.01,1160140.0,1075649.9999999998,0.00238863927685089,0.002596444312318717,0.003988948759361552,0.00403447500837216
0.74,0.184,,1.756,0.69,1.07,1.81,0.715,1.09,1209160.0,1121100.0,0.0025036884955767624,0.002629208063593593,0.0038825314351697625,0.004008163341702122
0.8,0.2,,2.198,0.948,1.25,2.14,0.87,1.266,1307200.0,1212000.0,0.002943221896577417,0.0027372951748093326,0.0038808305598330927,0.003983236426791512
0.84,0.21,,2.5,1.12,1.39,2.36,0.97,1.36,1372559.9999999998,1272600.0,0.003153944835927848,0.0027681875774129366,0.003914270823160454,0.0038811702116305093
0.89,0.22,,2.928,1.364,1.564,2.66,1.11,1.55,1454260.0,1348350.0,0.003421598127016182,0.0028217940846673407,0.0039232987321505194,0.003940343091202142
0.92,0.23,,3.214,1.546,1.668,2.87,1.22,1.66,1503280.0,1393800.0,0.0036293468706250056,0.002902461911016132,0.003915750698707961,0.003949251452694081
0.95,0.236,,3.5,1.77,1.78,3.13,1.362,1.766,1552299.9999999998,1439250.0,0.003896912893676612,0.0030388708988159326,0.003918929350703033,0.003940268727833287
1.04,0.26,,4.587,2.43,2.15,4.43,2.32,2.11,1699360.0,1575600.0,0.004464103318529901,0.004319203431651808,0.003949721043143739,0.003928241052062635
1.14,0.285,,5.95,3.37,2.6,6.97,4.33,2.64,1862759.9999999998,1727099.9999999998,0.005152462512433374,0.006709042559896082,0.003975193629770556,0.004090501699336179
1.17,0.29,,6.582,3.84,2.75,7.8,4.99,2.82,1911780.0,1772550.0,0.005573835449687084,0.007340255470052797,0.0039916790329790315,0.0041482004860819415
1.29,0.32,,9.578,6.12,3.458,10.85,7.34,3.5,2107860.0,1954350.0000000002,0.007307463319153541,0.008881759159577698,0.004128955581312573,0.004235171261379011
1.38,0.34,,11.59,7.55,4.05,12.97,8.93,4.04,2254920.0,2090699.9999999998,0.007877409479148712,0.009442253138569789,0.0042256302504042765,0.004271747220584764
1.4,0.35,,12.014,7.84,4.17,13.53,9.37,4.16,2287600.0,2120999.9999999995,0.007947940986538176,0.009626443645494141,0.00422741248901329,0.004273853315395478
1.49,0.37,,14.71,9.9,4.8,16.91,12.12,4.79,2434660.0,2257350.0,0.008860481033143545,0.010992904022631806,0.004295990803948385,0.004344555302673791
1.52,0.38,,15.885,10.8,5.063,18.53,13.52,5.01,2483680.0,2302800.0,0.009288192808021588,0.011783433872519561,0.004354270387686416,0.004366494356606731
1.61,0.4,,20.7,15.06,5.6,24.1,18.57,5.5,2630740.0,2439150.0000000005,0.011544306860968415,0.01442588629978443,0.004292703746442438,0.004272610374195712
1.82,0.45,,41.16,34.48,6.87,46.1,39.377,6.71,2973880.0,2757300.0,0.020683266303574165,0.023937688040556404,0.004121056830207498,0.00407907882144738
